ZIP,COUNTYNAME
35964,Marshall County
35975,Marshall County
35976,Marshall County
35980,Marshall County
36505,Mobile County
36509,Mobile County
36512,Mobile County
36521,Mobile County
36522,Mobile County
36523,Mobile County
36525,Mobile County
36528,Mobile County
36541,Mobile County
36544,Mobile County
36560,Mobile County
36568,Mobile County
36571,Mobile County
36572,Mobile County
36575,Mobile County
36582,Mobile County
36587,Mobile County
36601,Mobile County
36602,Mobile County
36603,Mobile County
36604,Mobile County
36605,Mobile County
36606,Mobile County
36607,Mobile County
36608,Mobile County
36609,Mobile County
36610,Mobile County
36611,Mobile County
36612,Mobile County
36613,Mobile County
36615,Mobile County
36617,Mobile County
36618,Mobile County
36619,Mobile County
36644,Mobile County
36675,Mobile County
36688,Mobile County
36693,Mobile County
36695,Mobile County
36425,Monroe County
36439,Monroe County
36444,Monroe County
36445,Monroe County
36457,Monroe County
36458,Monroe County
36460,Monroe County
36462,Monroe County
36470,Monroe County
36471,Monroe County
36475,Monroe County
36480,Monroe County
36481,Monroe County
36482,Monroe County
36502,Monroe County
36013,Montgomery County
36029,Montgomery County
36036,Montgomery County
36043,Montgomery County
36046,Montgomery County
36047,Montgomery County
36052,Montgomery County
36054,Montgomery County
36057,Montgomery County
36064,Montgomery County
36065,Montgomery County
36069,Montgomery County
36104,Montgomery County
36105,Montgomery County
36106,Montgomery County
36107,Montgomery County
36108,Montgomery County
36109,Montgomery County
36110,Montgomery County
36111,Montgomery County
36112,Montgomery County
36113,Montgomery County
36114,Montgomery County
36115,Montgomery County
36116,Montgomery County
36117,Montgomery County
36118,Montgomery County
36119,Montgomery County
36121,Montgomery County
36123,Montgomery County
36130,Montgomery County
36131,Montgomery County
36177,Montgomery County
35016,Morgan County
35019,Morgan County
35087,Morgan County
35175,Morgan County
35179,Morgan County
35601,Morgan County
35603,Morgan County
35619,Morgan County
35621,Morgan County
35622,Morgan County
35640,Morgan County
35670,Morgan County
35673,Morgan County
35754,Morgan County
35775,Morgan County
36728,Perry County
36756,Perry County
36759,Perry County
36765,Perry County
36786,Perry County
35442,Pickens County
35447,Pickens County
35461,Pickens County
35466,Pickens County
35471,Pickens County
35481,Pickens County
35555,Pickens County
35574,Pickens County
35576,Pickens County
36005,Pike County
36010,Pike County
36035,Pike County
36079,Pike County
36081,Pike County
36082,Pike County
36089,Pike County
36258,Randolph County
36263,Randolph County
36264,Randolph County
36266,Randolph County
36274,Randolph County
36276,Randolph County
36278,Randolph County
36280,Randolph County
36027,Russell County
36804,Russell County
36851,Russell County
36856,Russell County
36858,Russell County
36860,Russell County
36867,Russell County
36869,Russell County
36870,Russell County
36871,Russell County
36874,Russell County
36875,Russell County
36877,Russell County
35004,St. Clair County
35052,St. Clair County
35054,St. Clair County
35094,St. Clair County
35112,St. Clair County
35120,St. Clair County
35121,St. Clair County
35125,St. Clair County
35128,St. Clair County
35131,St. Clair County
35133,St. Clair County
35135,St. Clair County
35146,St. Clair County
35173,St. Clair County
35178,St. Clair County
35182,St. Clair County
35906,St. Clair County
35953,St. Clair County
35972,St. Clair County
35987,St. Clair County
35007,Shelby County
35022,Shelby County
35035,Shelby County
35040,Shelby County
35043,Shelby County
35051,Shelby County
35078,Shelby County
35080,Shelby County
35094,Shelby County
35114,Shelby County
35115,Shelby County
35124,Shelby County
35128,Shelby County
35137,Shelby County
35143,Shelby County
35147,Shelby County
35176,Shelby County
35178,Shelby County
35185,Shelby County
35186,Shelby County
35187,Shelby County
35216,Shelby County
35242,Shelby County
35243,Shelby County
35244,Shelby County
35442,Sumter County
35459,Sumter County
35460,Sumter County
35464,Sumter County
35470,Sumter County
35477,Sumter County
36901,Sumter County
36907,Sumter County
36922,Sumter County
36925,Sumter County
35014,Talladega County
35032,Talladega County
35044,Talladega County
35072,Talladega County
35096,Talladega County
35149,Talladega County
35150,Talladega County
35151,Talladega County
35160,Talladega County
36203,Talladega County
36260,Talladega County
36268,Talladega County
35010,Tallapoosa County
35072,Tallapoosa County
35089,Tallapoosa County
36078,Tallapoosa County
36255,Tallapoosa County
36256,Tallapoosa County
36276,Tallapoosa County
36850,Tallapoosa County
36853,Tallapoosa County
36861,Tallapoosa County
36866,Tallapoosa County
36879,Tallapoosa County
35006,Tuscaloosa County
35111,Tuscaloosa County
35184,Tuscaloosa County
35188,Tuscaloosa County
35401,Tuscaloosa County
35404,Tuscaloosa County
35405,Tuscaloosa County
35406,Tuscaloosa County
35440,Tuscaloosa County
35444,Tuscaloosa County
35446,Tuscaloosa County
35449,Tuscaloosa County
35452,Tuscaloosa County
35453,Tuscaloosa County
35456,Tuscaloosa County
35457,Tuscaloosa County
35458,Tuscaloosa County
35463,Tuscaloosa County
35466,Tuscaloosa County
35468,Tuscaloosa County
35469,Tuscaloosa County
35473,Tuscaloosa County
35474,Tuscaloosa County
35475,Tuscaloosa County
35476,Tuscaloosa County
35478,Tuscaloosa County
35480,Tuscaloosa County
35482,Tuscaloosa County
35486,Tuscaloosa County
35490,Tuscaloosa County
35546,Tuscaloosa County
35555,Tuscaloosa County
35579,Tuscaloosa County
35006,Walker County
35033,Walker County
35038,Walker County
35062,Walker County
35063,Walker County
35130,Walker County
35148,Walker County
35501,Walker County
35503,Walker County
35504,Walker County
35546,Walker County
35549,Walker County
35550,Walker County
35554,Walker County
35560,Walker County
35573,Walker County
35578,Walker County
35579,Walker County
35580,Walker County
35584,Walker County
35587,Walker County
36513,Washington County
36518,Washington County
36529,Washington County
36538,Washington County
36539,Washington County
36548,Washington County
36553,Washington County
36556,Washington County
36558,Washington County
36569,Washington County
36581,Washington County
36583,Washington County
36584,Washington County
36585,Washington County
36435,Wilcox County
36720,Wilcox County
36722,Wilcox County
36723,Wilcox County
36726,Wilcox County
36728,Wilcox County
36741,Wilcox County
36751,Wilcox County
36753,Wilcox County
36761,Wilcox County
36766,Wilcox County
36768,Wilcox County
36769,Wilcox County
36783,Wilcox County
36784,Wilcox County
35053,Winston County
35098,Winston County
35179,Winston County
35503,Winston County
35540,Winston County
35541,Winston County
35551,Winston County
35553,Winston County
35554,Winston County
35565,Winston County
35572,Winston County
35575,Winston County
35577,Winston County
35578,Winston County
99553,Aleutians East Borough
99571,Aleutians East Borough
99583,Aleutians East Borough
99612,Aleutians East Borough
99661,Aleutians East Borough
99546,Aleutians West Census Area
99547,Aleutians West Census Area
99591,Aleutians West Census Area
99638,Aleutians West Census Area
99660,Aleutians West Census Area
99685,Aleutians West Census Area
99692,Aleutians West Census Area
99501,Anchorage Municipality
99502,Anchorage Municipality
99503,Anchorage Municipality
99504,Anchorage Municipality
99505,Anchorage Municipality
99506,Anchorage Municipality
99507,Anchorage Municipality
99508,Anchorage Municipality
99513,Anchorage Municipality
99515,Anchorage Municipality
99516,Anchorage Municipality
99517,Anchorage Municipality
99518,Anchorage Municipality
99529,Anchorage Municipality
99530,Anchorage Municipality
99540,Anchorage Municipality
99567,Anchorage Municipality
99577,Anchorage Municipality
99587,Anchorage Municipality
99599,Anchorage Municipality
99545,Bethel Census Area
99551,Bethel Census Area
99552,Bethel Census Area
99557,Bethel Census Area
99559,Bethel Census Area
99561,Bethel Census Area
99575,Bethel Census Area
99578,Bethel Census Area
99589,Bethel Census Area
99607,Bethel Census Area
99609,Bethel Census Area
99614,Bethel Census Area
99621,Bethel Census Area
99622,Bethel Census Area
99626,Bethel Census Area
99630,Bethel Census Area
99634,Bethel Census Area
99637,Bethel Census Area
99641,Bethel Census Area
99651,Bethel Census Area
99655,Bethel Census Area
99656,Bethel Census Area
99668,Bethel Census Area
99679,Bethel Census Area
99680,Bethel Census Area
99681,Bethel Census Area
99690,Bethel Census Area
99613,Bristol Bay Borough
99633,Bristol Bay Borough
99670,Bristol Bay Borough
99729,Denali Borough
99743,Denali Borough
99744,Denali Borough
99755,Denali Borough
99555,Dillingham Census Area
99569,Dillingham Census Area
99576,Dillingham Census Area
99580,Dillingham Census Area
99628,Dillingham Census Area
99636,Dillingham Census Area
99678,Dillingham Census Area
99701,Fairbanks North Star Borough
99702,Fairbanks North Star Borough
99703,Fairbanks North Star Borough
99705,Fairbanks North Star Borough
99709,Fairbanks North Star Borough
99712,Fairbanks North Star Borough
99714,Fairbanks North Star Borough
99725,Fairbanks North Star Borough
99775,Fairbanks North Star Borough
99790,Fairbanks North Star Borough
99827,Haines Borough
99801,Juneau City and Borough
99811,Juneau City and Borough
99824,Juneau City and Borough
99556,Kenai Peninsula Borough
99568,Kenai Peninsula Borough
99572,Kenai Peninsula Borough
99603,Kenai Peninsula Borough
99605,Kenai Peninsula Borough
99610,Kenai Peninsula Borough
99611,Kenai Peninsula Borough
99631,Kenai Peninsula Borough
99635,Kenai Peninsula Borough
99639,Kenai Peninsula Borough
